Condition,Are you a host on Airbnb?,How often do you use Airbnb?,Qualitative Feedback,Pre-Feedback,Post-Feedback,Pre-Feedback Ability,Pre-Feedback Benevolence,Pre-Feedback Integrity,Pre-Feedback Overall Trustworthiness (Holistic),Post-Feedback Ability,Post-Feedback Benevolence,Post-Feedback Integrity,Post-Feedback Overall Quality (Holistic)
1,No,1,"I found the advice somewhat helpful, like the fact that I should focus on less topics. However, I didn't agree with all of it, like when it said that I should use a more passive instead of active voice.","Hello potential guest! I'm so excited that you're thinking of staying in my rental! I've lived in the area for quite some time, so please feel free to ask me any questions you have. I'm a voracious reader and wouldn't be able to live without my library card, but I'm not just a bookworm. I probably couldn't live without my laptop, yoga mat, walking shoes, or cookbooks either. I eventually  want to travel to every country, but so far my favorite place would have to be the United Kingdom, which makes sense since Harry Potter is my favorite book and movie series and Doctor Who is my favorite show. I also love blues music and potato soup! When I travel, I normally go with a budget backpacking style, which is such a great way to save money. I love exploring anywhere and everywhere, so I can show you around town if you'd like. If you'd prefer to go it alone, though, I'll just leave you to it. I only live a couple of minutes away, so I can help with any problems you may have. I'm so excited you're thinking about traveling here - my life motto has always been that experiences are the only things worth buying!","Hello potential guest! I'm so excited that you're thinking of staying in my rental! I've lived in the area for quite some time, so please feel free to ask me any questions you have. I'm a voracious reader and wouldn't be able to live without my library card, but I'm not just a bookworm. I probably couldn't live without my laptop, yoga mat, walking shoes, or cookbooks either. I eventually  want to travel to every country, but so far my favorite place would have to be the United Kingdom, which makes sense since Harry Potter is my favorite book and movie series and Doctor Who is my favorite show. I also love blues music and potato soup! When I travel, I normally go with a budget backpacking style, which is such a great way to save money. I love exploring anywhere and everywhere, so I can show you around town if you'd like. If you'd prefer to go it alone, though, I'll just leave you to it. I only live a couple of minutes away, so I can help with any problems you may have. I'm so excited you're thinking about traveling here - my life motto has always been that experiences are the only things worth buying!",5.25,6.75,6.5,6.25,5.25,6.75,6.5,6.25
4,No,1,"It said that there would be red underlines with comments, but I never saw any of them.  The feed back was too vague to be put to use.  I didn't understand what didn't sound authentic.",I'm a middle age working profession with a family that consists of a wife and teen-age son.  I work in a technical field.  We've lived in the high desert for 5 years and have become accustomed to the wide open spaces.,I'm a middle-age working profession with a family that consists of a wife and teen-age son.  I work in a technical field.  We've lived in the high desert for 5 years and have become accustomed to the wide open spaces.,4.5,4.5,4.5,4,4.5,4.5,4.5,4
4,No,2,I found the feedback to be quite limiting and letting me fully express myself my way. I felt more like I was trying to hit certain marks with an application.,"I am a responsible and honest individual. I believe everyone is a friend that you just havent made yet. I love to travel and explore new places. My wife and I travel once a year. Some times its domestically other times internationally. We have been to much of Europe, and all around the United States. If I had to pick one place that stands out to me more than others was our trips to the United Kingdom. London is amazing, we spent quite a bit of time in Edinburgh, Scotland as well. We stayed just a few miles off of the Royal Mile. My wife loves Castles, so we often pick places where castles are near by. In Edinburgh castle there is a display setup where you can see some of the cell walls and doors from the English prison ships from the Revolutionary war time. On one of the doors there is a basic American flag carved in it. It quite a touching experience when you think of their dedication to that cause. I also like to take the time to learn the history and culture of where we travel. I am often googling and buying books on places we could possibly travel next. I am looking forward to meeting individuals from all over and welcome them here as friends. I can assist with local attractions, directions, arranging travel, I just want you to have a great trip and assist any way that I can.","I am a responsible and honest individual. My wife and I have been married for almost a decade. We believe everyone is a friend that you just havent made yet. Our local community is amazing and quite diverse. We have a large Cuban influence here in Tampa. You can have old cigar factories, cuban cafes, and a healthy share of their culture. We are very laid back and relaxed. We love to discuss or hear about your life experiences. We love to travel and explore new places. My wife and I travel once a year. Some times its domestically other times internationally. We have been to much of Europe, and all around the United States. If I had to pick one place that stands out to me more than others was our trips to the United Kingdom. London is amazing, we spent quite a bit of time in Edinburgh, Scotland as well. We stayed just a few miles off of the Royal Mile. My wife loves Castles, so we often pick places where castles are near by. In Edinburgh castle there is a display setup where you can see some of the cell walls and doors from the English prison ships from the Revolutionary war time. On one of the doors there is a basic American flag carved in it. It quite a touching experience when you think of their dedication to that cause. I also like to take the time to learn the history and culture of where we travel. I am often googling and buying books on places we could possibly travel next. I am looking forward to meeting individuals from all over and welcome them here as friends. I can assist with local attractions, directions, arranging travel, I just want you to have a great trip and assist any way that I can.",5.5,5.5,6,5,6,6.5,6.5,6.5
3,No,4,"The feedback was a little vague and generic, but helped me add to my bio.","I am a consultant and a fellow traveler. I have visisted twenty-two countries so far, and it is my mission to see every continent.  While I am away, my home is yours! I will be accessible to you via phone and email to help you during your stay. I hope you enjoy my city as much as I do.","I am a consultant and a fellow traveler. I have visisted twenty-two countries so far. It is my mission to see and experience every continent.  While I am away, my home is yours! I will be accessible to you by phone and email to help you during your stay. I hope you will enjoy my city as much as I do. It's the perfect place to go on a hike, relax on the beach, and explore downtown for some excellent food and live music.",4.666667,3.666667,4.666667,4.333333,4.333333,4.666667,4.666667,4.666667
1,Yes,6,I thought the feedback was useful but it need to go more in depth with what was needed.,My wife and I live together with our daughter in our multi-bedroom apartment in NYC. We will be happy to host you in our cozy and wonderful home. My wife is a travel agent so she can assist you with some suggestions of sites to see while you are in NYC. I have always been fond of eating out myself and can provide excellent recommendations of what to eat while you are in New York City. We are very relaxed and laid back with everything we do. We love good company and hearing your travel stories. My wife was born in raised in the local neighboorhood so she knows New York City in and out and will be happy to answer any of your questions on where to go in the city.,My wife and I live together with our daughter in our multi-bedroom apartment in NYC. We will be happy to host you in our cozy and wonderful home. My wife is a travel agent so she can assist you with some suggestions of sites to see while you are in NYC. I have always been fond of eating out myself and can provide excellent recommendations of what to eat while you are in New York City. We are very relaxed and laid back with everything we do. We love good company and hearing your travel stories. My wife was born in raised in the local neighboorhood so she knows New York City in and out and will be happy to answer any of your questions on where to go in the city.,7,7,7,7,7,7,7,7
1,No,1,The feedback was pretty vague. It said my bio was helpful and that I did a good job but I'm not sure how it was good.,"I'm a self employed artist who also is really into nature and the outdoors. That's one of the reasons that I was so motivated into turning my house and my yard into my own piece of nature.   When I'm not at home working on my paintings or tending to the forest garden, I'm out travelling on the road with my wife in our camper van. We're usually out on the road for weeks at a time which is why we've opened up our home for guests.   I really like the idea of sharing my home to guests so they can relax and enjoy the bit of nature that I've worked hard on to create in the middle of suburbia. Part of me hopes it will inspire and motivate others to create more nature around their own homes as well.   But most of all I hope my guests just enjoy themselves and are enjoying their vacation!","I'm a self employed artist who also is really into nature and the outdoors. That's one of the reasons that I was so motivated into turning my house and my yard into my own piece of nature.   When I'm not at home working on my paintings or tending to the forest garden, I'm out travelling on the road with my wife in our camper van. We're usually out on the road for weeks at a time which is why we've opened up our home for guests.   I really like the idea of sharing my home to guests so they can relax and enjoy the bit of nature that I've worked hard on to create in the middle of suburbia. Part of me hopes it will inspire and motivate others to create more nature around their own homes as well.   But most of all I hope my guests just enjoy themselves and are enjoying their vacation!",4.5,6,6,5,4.5,6,6,5
3,No,2,There was only positive feedback without any red lettered suggestions.,"My name is John and I have a home for rent in the town of Daytona Beach, Florida. I have lived in this area for over 20 years and am very familiar with the places of interest to visit nearby. If you're like me and enjoy going to the beach for swimming, biking, bicycling, or just laying out in the sun, then you'll love staying at my house.    My wife(who has a culinary arts degree) and I will make certain that the meals are to your liking if you choose that option. The available rooms each have new beds and linens and have access to their own bathrooms.      We enjoy relaxing on our sundeck in the mornings and the live music in several nearby restaurants in the evenings. They have different types of music throughout the area and we can make suggestions based on your preference. We really enjoy the jazz at several restaurants nearby. There is also a local theatre for people like us who appreciate the arts in a variety of forms.     Our favorite travel destinations are in the carribbean as we love being near the water and are island lovers. We live an active lifestyle and have enjoyed scuba diving at Cozumel and Akumel in Mexico, Bonaire, St. Lucia, Grand Cayman, and Roatan in Honduras. We tend to travel light so we can enjoy all of the local flavors, sights, and sounds wherever we go.     The 5 things we can't live without would have to be the ocean, coral reefs, a variety of international foods, warm weather, and a swimsuit as we're always ready for a swim.      We keep a number of classic books as well as works by several recent authours on our shelves for those who enjoy their adventure to be in ink form.      Those who have spent time with us in our humble abode will tell you that we will give you as much space as you please, but will also enjoy ending the day with a cocktail with you on the back deck. We do our best to make certain that you can relax and do things at your own pace while staying here.    ","My name is John and I have a home for rent in the town of Daytona Beach, Florida. I have lived in this area for over 20 years and am very familiar with the places of interest to visit nearby. If you're like me and enjoy going to the beach for swimming, biking, bicycling, or just laying out in the sun, then you'll love staying at my house.    My wife(who has a culinary arts degree) and I will make certain that the meals are to your liking if you choose that option. The available rooms each have new beds and linens and have access to their own bathrooms.      We enjoy relaxing on our sundeck in the mornings and the live music in several nearby restaurants in the evenings. They have different types of music throughout the area and we can make suggestions based on your preference. We really enjoy the jazz at several restaurants nearby. There is also a local theatre for people like us who appreciate the arts in a variety of forms.     Our favorite travel destinations are in the carribbean as we love being near the water and are island lovers. We live an active lifestyle and have enjoyed scuba diving at Cozumel and Akumel in Mexico, Bonaire, St. Lucia, Grand Cayman, and Roatan in Honduras. We tend to travel light so we can enjoy all of the local flavors, sights, and sounds wherever we go.     The 5 things we can't live without would have to be the ocean, coral reefs, a variety of international foods, warm weather, and a swimsuit as we're always ready for a swim.      We keep a number of classic books as well as works by several recent authours on our shelves for those who enjoy their adventure to be in ink form.      Those who have spent time with us in our humble abode will tell you that we will give you as much space as you please, but will also enjoy ending the day with a cocktail with you on the back deck. We do our best to make certain that you can relax and do things at your own pace while staying here.  ",6.5,6,6.5,6,6.5,6,6.5,6
1,No,2,"My sentences weren't really ""Complicated"" as it suggested.","My name is <privacy filter> and my husband and I were highschool sweethearts, and have been married 9 years. We're quiet and considerate and are great hosts! We love to cook and entertain. Food and presentation is one of our greatest passions. We also love the outdoors - hiking and fishing are our favorites! We know all the good spots around town, and can point you in their direction for a good time!","My name is <privacy filter>. My husband and I were highschool sweethearts. We dates througout college and have been married almost 9 years. We're in our early 30's. We're quiet and considerate and will be great hosts! We love to cook and entertain. Food and presentation is one of our greatest passions. We also love going out and experiencing new foods and restaurants. We love the great outdoors. Hiking and fishing are some of our favorite activites. We love taking our boat out on the weekend. We know all the good spots around town, and can point you in their direction for a great time! We have two small dogs, and love animals. You will feel welcome in our home!",4,5,6,5,4,6,6,6
3,No,4,I received feed back to improve my bio as much as possible.,"Hello, my name is Mike.  I live my life by moving forward in all things.  I have 5 things I can't live without: my girlfriend, my dog, cat, computer and my motorcycle.  Some of my favorite places to travel are the east coast and warm climate places.  Favorite books would be anything fantasy and sci-fi genres.  I love all kinds of foods ranging from seafood to a good steak.  I like rock music and really have a soft place for alternative.    Having me as a host you will get an host and loving person as support.  I typically travel by air and usually will travel around by car to see the sights!  I believe I am a loving and positive host!","Hello, my name is Mike.  I live my life by moving forward in all things.  I have 5 things I can't live without: my girlfriend, my dog, cat, computer and my motorcycle.  Some of my favorite places to travel are the east coast and warm climate places.  Favorite books would be anything fantasy and sci-fi genres.  I love all kinds of foods ranging from seafood to a good steak.  I like rock music and really have a soft place for alternative.    Having me as a host you will get an host and loving person as support.  I typically travel by air and usually will travel around by car to see the sights!  I believe I am a loving and positive host!",4,5.333333,5.333333,5,4,5.333333,5.333333,5
1,No,2,"It wasn't good advice firstly- active voice is almost always preferable to passive voice, and why would someone want a wishy washy passive voice host bio? Further, the feedback was a bout ""a product"" so is the product ME as the host? Or my home? It was weird.  Also it mentioned ""technical language"" which I did not use. ","i, I'm Sarah and I consider myself a collector of experiences... During the academic year, my husband and I are teachers, so during the break we love to travel to new places to learn more about other cultures, geography, history, food, and the natural world. We love to alternate between busy urban centers where we pack non-stop adventure into our trips with slow paced lazy explorations of rural or costal areas. As long as the food is good, we're willing to give a place a try, and we rarely plan the same location or itinerary twice! Our favorite recent experiences were exploring the beachy hot days and relaxed evenings on Sulivant's Island in SC, and a quick weekend to Chicago where we took in 7 museums and shows in just 2.5 days!  We couldn't pick just one vibe for our home either- we live in a city neighbhood that's tucked off the main sprawl next to a city metro park with a roaring river and a 10 acre nature preserve giving us the best mix of rural and urban amenities. We just couldn't decide between access to sushi and modern art or hiking and bird spotting!  Our family's motto is \""""Choose your own adventure!\"""" As a host, I want you to feel comfortable making that same choice- if you feel like relaxing at home, cooking some easy meals and taking some lesuriely walks, you'll find a den stocked with movies and cozy couches, a professional grade kitchen, and maps and nature guides to help you get to and enjoy the nearby walking trails around the river. If you'd rather spend your day exploring the city, we've got a primo esspresso and coffee machine along with a big airy bathroom for invigorating showers that will get you going early with a spring in your step. You'll find a variety of local eateries within walking distance and our home is just a short cheap uber or Lyft ride from the city center full of theaters, shopping, and museums. At the end of a long day, grab some drinks from the neighborhood bodega and relax on the secluded back deck- you'll hear the river flowing and maybe see some deer and fireflies.    These are a few of OUR favorite things, we hope you'll come stay and choose your own adventure here as well!","Hi, I'm Sarah and I consider myself a collector of experiences... During the academic year, my husband and I are teachers, so during the break we love to travel to new places to learn more about other cultures, geography, history, food, and the natural world. We love to alternate between busy urban centers where we pack non-stop adventure into our trips with slow paced lazy explorations of rural or costal areas. As long as the food is good, we're willing to give a place a try, and we rarely plan the same location or itinerary twice! Our favorite recent experiences were exploring the beachy hot days and relaxed evenings on Sulivant's Island in SC, and a quick weekend to Chicago where we took in 7 museums and shows in just 2.5 days!  Our family's motto is \""""Choose your own adventure!\"""" As a host, I want you to feel comfortable making that same choice- if you feel like relaxing at home, cooking some easy meals and taking some lesuriely walks, you'll find cozy amenities and guides to help you enjoy the walking trails. If you'd rather spend your day exploring the city, we've got coffee and showers that will get you going early to the variety of local eateries or on a short cheap uber or Lyft ride from the city center.   These are a few of OUR favorite things, we hope you'll come stay and choose your own adventure here as well!",7,7,7,7,7,7,7,7
3,No,1,i didn't know what to write,"I love traveling, especially to tropical locations. Nothing is better than fantasizing about sticking your toes in the sand.","I love traveling, especially to tropical locations. Nothing is better than fantasizing about sticking your toes in the sand.",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2,No,4,It suggested I give less detail about the specific product.,"A few things to help you know more about me is one, I can't live without my guitar, my dog, my family, and my beer brewing. I really enjoy traveling in the carribean, and to the jungle. Seeing such a wide variety of wilflife and historic sites pleases my soul. The way I like to offer Airbnb is with lots of care and compassion making the guest feel  as welcome as possible. We always keep our personal touch in the home without being too overbearing. We want you to enjoy Charleston as much as we have over the years!","A few things to help you know more about me is one, I can't live without my guitar, my dog, my family, and my beer brewing. I really enjoy traveling in the carribean, and to the jungle. Seeing such a wide variety of wilflife and historic sites pleases my soul. The way I like to offer Airbnb is with lots of care and compassion making the guest feel  as welcome as possible. We live a very light-hearted and joyful lifestyle and respectfully we want you to enjoy Charleston as much as we have over the years!",4.666667,5,5.333333,5,4.666667,5.666667,5.333333,5
3,No,3,"It told me what segments could be improved in the profile, which I appreciated.","I'm a geek, first and foremost. On the walls of my domicile, you'll be greeted with the likes of Doctor Who, Spider-Man and Star Wars photos and action figures.  Five things I can't live without: Books, (takes up a good portion of my living room), movies (the other portion of my living room), board games (another portion of said living room), family and friends (they do not take up portons of my living room, however :-P) Favorite travel destinations would be to Germany to see the Wartburg Castle in Eisenach, Germany. The movies thing is hard for me to narrow down to favorites without knowing a particular genre. Television shows I tend towards shows that were probably just ahead of their time - Firefly, Better Off Ted, Happy Endings, Two Guys, A Girl, and a Pizza Place, The I.T. Crowd, Spaced... The domicile is not the best, but I operate on a laissez faire motif in my life. There's not much you can do to ruin my stuff or my day. I am not really attached to any object with some permanence. I don't host people too often.","I'm a geek, first and foremost. On the walls of my domicile, you'll be greeted with the likes of Doctor Who, Spider-Man and Star Wars photos and action figures.  Five things I can't live without: Books, (takes up a good portion of my living room), movies (the other portion of my living room), board games (another portion of said living room), family and friends (they do not take up portons of my living room, however :-P) Favorite travel destinations would be to Germany to see the Wartburg Castle in Eisenach, Germany. The movies thing is hard for me to narrow down to favorites without knowing a particular genre. Television shows I tend towards shows that were probably just ahead of their time - Firefly, Better Off Ted, Happy Endings, Two Guys, A Girl, and a Pizza Place, The I.T. Crowd, Spaced... The domicile is not the best, but I operate on a laissez faire motif in my life. There's not much you can do to ruin my stuff or my day. I am not really attached to any object with some permanence. I don't host people too often, but would be willing to in the future. The town of Mount Vernon has many good eating establishments and proximity to locations, including Cedar Rapids and Iowa City. I can give recommendations on where I'd advise eating in my personal community on request, or we can take a tour of some of my favorite hot spots in those other communities.",4,4,5.5,5,4,5.5,6,5.5
3,No,1,I didn't see any specific feedback,"Hi, I'm Brian. My wife and I just recently moved into our new home and we're having a great time making it our own place. We have three boys, all growning up very fast. I work for the federal government as a general mechanic, and my wife stays home with our kids and new puppy, Dagna. We have lots of plans to travel in the future. It's been a dream of mine to backpack across Europe.","i, I'm Brian. My wife and I just recently moved into our new home and we're having a great time making it our own place. We have three boys, all growning up very fast. I work for the federal government as a general mechanic, and my wife stays home with our kids and new puppy, Dagna. We have lots of plans to travel in the future. It's been a dream of mine to backpack across Europe.",5.5,4.5,5.5,5,5.5,4.5,5,5
2,No,1,It said I wasn't clear but I felt like I was writing pretty clearly. I did try to get a bit more specific when it told me to though.,I am a 36 year old woman. I am married with two children.  I love to read and do various craft projects. I also enjoy cooking and going on long road trips.,I am a 36 year old woman. I am married with two children.  I love to read mostly fantasy and sci fi books and do various craft projects. I also enjoy cooking and going on long road trips.,2,2,2,2,2,2,2,2
1,No,3,"i found it helpful but i didnt want to change my bio, i liked how it ended up","5 things i can not live without are Wif-Fi, Netflix, icecream, my laptop, and my family. My favorite travel destination is the Bahamas. My favorite books are the Harry Potter series. My favorite movies are the old Star Wars Trilogy. My favorite shows are Walking Dead and Daredevil. My favorite music is Hiphop music from the 90s through out 2000. I enjoy so many foods i cant even list them >Super foodie here!    I am a warm, accommadation person who enjoys having compnay. I will made sure you enjoy your stay and have a time to remember. I enjoy traveling by plane to different states in the country but my favorite way to travel is by boat on a cruise.      I am a loving husband and father and i life by the motto is \""""Make experience, not excuses..\","5 things i can not live without are Wif-Fi, Netflix, icecream, my laptop, and my family. My favorite travel destination is the Bahamas. My favorite books are the Harry Potter series. My favorite movies are the old Star Wars Trilogy. My favorite shows are Walking Dead and Daredevil. My favorite music is Hiphop music from the 90s through out 2000. I enjoy so many foods i cant even list them >Super foodie here!    I am a warm, accommadation person who enjoys having compnay. I will made sure you enjoy your stay and have a time to remember. I enjoy traveling by plane to different states in the country but my favorite way to travel is by boat on a cruise.      I am a loving husband and father and i life by the motto is \""""Make experience, not excuses..\",6,5.5,5.5,5.5,6,5.5,5.5,5.5
3,No,2,It was good in that I needed to add more information  ,I am reserved yet talkative individual. I don't party and I don't blast music in my house.  My place is generally clean and I am concerned with my appearance as well as that of my house.  I respect others and expect that respect to be reciprocated.  I like the outdoors and being physically active though a nice quiet afternoon with my cats is always appreciated as well.,I am reserved yet talkative individual. I don't party and I don't blast music in my house.  My place is generally clean and I am concerned with my appearance as well as that of my house.  I respect others and expect that respect to be reciprocated.  I like the outdoors and being physically active though a nice quiet afternoon with my cats is always appreciated as well.  My friends and I like to try new restaurants as well as those that we like.  I travel once or twice a year out of state where I enjoying hiking mountains and boating on lakes.  But I also like going into the local town to shop or the city to enjoy the nightlife.,4.333333,3,4.666667,3.666667,4.333333,4,4.666667,4.666667
1,Yes,1,vague and not applicable,"Hi! My name is Shane, and I'm super-excited to be your AirBnB host.  My motto is \""Treat everyone like family\"". You can expect me to help you have a pleasant, comfortable, stay.  I've found that most people who are willing to be AirBnB guests--to seek out alternative accomodation--tend to be planners and self-starters, so I tend to show you around the place and then let you enjoy your stay. However, I am available via a dedicated cell phone I'll give you to answer any questions about the property OR the local area or do anything I can to ensure you have a great stay.  I love to travel myself, particularly to far-flung islands and the great cities of Europe. I am open to home swaps and travel partners.  Five things I can't live without are food, oxygen, sleep, chocolate and bourbon. :)  Thanks for choosing my AirBNB rental!","Hi! My name is Shane, and I'm super-excited to be your AirBnB host.  My motto is \""Treat everyone like family\"". You can expect me to help you have a pleasant, comfortable, stay.  I've found that most people who are willing to be AirBnB guests--to seek out alternative accomodation--tend to be planners and self-starters, so I tend to show you around the place and then let you enjoy your stay. However, I am available via a dedicated cell phone I'll give you to answer any questions about the property OR the local area or do anything I can to ensure you have a great stay.  I love to travel myself, particularly to far-flung islands and the great cities of Europe. I am open to home swaps and travel partners.  Five things I can't live without are food, oxygen, sleep, chocolate and bourbon. :)  Thanks for choosing my AirBNB rental!",4.5,6,5,5,4.5,6,5,5
1,No,3,"I felt that the feedback I was given was actually wrong, especially the part about using more passive voice--no one likes to read passive voice!","I love being an AirBnb host because it gives me a way of sharing my wonderful city with people from various backgrounds and experiences. I travel in my free time and only stay at other AirBnbs. I love meeting new people and AirBnb gives me the freedom to do this while seeing the world! My favorite places to travel are Peru, Nepal, Indonesia, and Ecuador. When I travel I like to get off the beaten path and explore the location as a local would.  My favorite travel activities are sampling local cuisine (of course!), exploring the history of the place, hiking, and attending cultural events. The less tourist-y the experience, the better! My Airbnb is full of the objects and art I've collected along my travels. By staying with me you'll experience my city as the locals do, but you'll also have access to the stories and aesthetic of my own experiences travelling the world. You'll also notice lots of books (feel free to pick one up and read it!), because books allow us access to new worlds and experiences in the same way as travelling does! My favorite books are Thomas Mann's The Magic Mountain (about a trip to the Swiss Alps), E.M. Forster's A Room with a View (think of how this book would be different if AirBnb had existed then!), and Virginia Woolf's To the Lighthouse (oh to have my own vacation home in the Hebrides!).  You'll also find plenty of information about the city--I offer a list of my favorite local eateries and breweries (plenty of craft beer to sample, if you're into that!), a description of the local attractions and the best times to visit them to avoid crowds, maps of the city with sample walking tour routes, and more!","I love being an AirBnb host because it gives me a way of sharing my wonderful city with people from various backgrounds and experiences. I travel in my free time and only stay at other AirBnbs. I love meeting new people and AirBnb gives me the freedom to do this while seeing the world! My favorite places to travel are Peru, Nepal, Indonesia, and Ecuador. When I travel I like to get off the beaten path and explore the location as a local would.  My favorite travel activities are sampling local cuisine (of course!), exploring the history of the place, hiking, and attending cultural events. The less tourist-y the experience, the better! My Airbnb is full of the objects and art I've collected along my travels. By staying with me you'll experience my city as the locals do, but you'll also have access to the stories and aesthetic of my own experiences travelling the world. You'll also notice lots of books (feel free to pick one up and read it!), because books allow us access to new worlds and experiences in the same way as travelling does! My favorite books are Thomas Mann's The Magic Mountain (about a trip to the Swiss Alps), E.M. Forster's A Room with a View (think of how this book would be different if AirBnb had existed then!), and Virginia Woolf's To the Lighthouse (oh to have my own vacation home in the Hebrides!).  You'll also find plenty of information about the city--I offer a list of my favorite local eateries and breweries (plenty of craft beer to sample, if you're into that!), a description of the local attractions and the best times to visit them to avoid crowds, maps of the city with sample walking tour routes, and more!",5,6.5,6.5,6.5,5,6.5,6.5,6.5
3,Yes,5,It did give me insight that I could use better grammar when writing.,"I am a single man who would like to rent my secondary residence out for extra income. I am an animal lover, so cats and dogs would be ok provided they are house trained.  I love to travel to Europe, music is a big part of my life and I love Italian food.  Having me as a host will be very comforting.  I will only be a phone call away and can be reached at anytime to address any and all of your needs.  My life motto is, \""""Live today like theres no tomorrow\","I am a single man who would like to rent my secondary residence out for extra income. I am an animal lover, so cats and dogs would be ok provided they are house trained.  I love to travel to Europe, music is a big part of my life and I love Italian food.  Having me as a host will be very comforting.  I will only be a phone call away and can be reached at anytime to address any and all of your needs.  My life motto is, \""""Live today like theres no tomorrow\",4.5,5,5,4.5,4.5,5,5,4.5
2,No,1,I didn't understand the feedback and seemed generic and I didn't see how to apply it to what I wrote.,"Ever since I can remember growing up my parents always has people over - friends, family, neighbors, etc.  They would even have people from the street come in a try some BBQ.  This is what I like to do to - I like to help people and show them a good time.    I'm happy to share because sharing is caring.  I take things slow and easy and I'm a pretty mellow person.  I like fantasy books, comedy movies and my favorite band is the Greatful Dead.  I try to get out of the city as much as possible and this works out great for both you and me - You get a place to stay and I get money to travel.  My favorite place to get away to is in the woods.  I try my best to help you out and set you up.  Ask any questions you have and I'll try to answer them as thourorly as possible.  I've lived here for a long time so I'm familiar with all the diffent bars, foods, shows, etc.  Just ask!  I'm excited to help you out!!","Ever since I can remember growing up my parents always has people over - friends, family, neighbors, etc.  They would even have people from the street come in a try some BBQ.  This is what I like to do to - I like to help people and show them a good time.    I'm happy to share because sharing is caring.  I take things slow and easy and I'm a pretty mellow person.  I like fantasy books, comedy movies and my favorite band is the Greatful Dead.  I try to get out of the city as much as possible and this works out great for both you and me - You get a place to stay and I get money to travel.  My favorite place to get away to is in the woods.  I try my best to help you out and set you up.  Ask any questions you have and I'll try to answer them as thourorly as possible.  I've lived here for a long time so I'm familiar with all the diffent bars, foods, shows, etc.  Just ask!  I'm excited to help you out!!",7,7,6.5,6.5,7,7,6.5,6.5
2,No,1,"Some of the responses were odd- I got the impression I should make a longer bio, but the feedback told me I was talking about too many topics. Not sure why my language should be less active, either- sounds more like a personal preference than a critique. I wasn't really sure what to do with several of the critiques.","Despite living in Seattle for five years now, I still have choices every weekend for something new and exciting to do. So many concerts, shows, shops to check out, and events to explore every day, on top of the beautiful surrounding area that's great for hikes and camping.  I keep tabs on all the local happenings- if weather keeps you inside, or the sun coaxes you outside, then we can always work out plans on the fly! The local transit system can get you anywhere in the area easily, or it's a short trip to picking up a zipcar and driving anywhere in the area that strikes your fancy. With Seattle weather, you never know what chances you'll have that day, so I'll always be available for advice on those last-minute changes.  Personally, I love getting the chance to travel the world, exploring different countries and experiencing local life. Every person is different, every city has a different way of living and different ways to feel welcome, and I want to make sure that you enjoy your stay here. When you arrive, take some time to relax, drink some Seattle coffee, and chat about what you value in travel and life- I'll make sure to cater your stay to you!","Despite living in Seattle for five years now, I still have choices every weekend for something new and exciting to do. So many concerts, shows, shops to check out, and events to explore every day, on top of the beautiful surrounding area that's great for hikes and camping. Whatever your interests may be, I am sure you'll enjoy your trip out here!  I keep tabs on all the local happenings- if weather keeps you inside, or the sun coaxes you outside, then we can always work out plans on the fly! The local transit system can get you anywhere in the area easily, or it's a short trip to picking up a zipcar and driving anywhere in the area that strikes your fancy. And with Seattle weather, you never know what chances you'll have that day, so I'll always be available for advice on those last-minute changes.  Personally, I love getting the chance to travel the world, exploring different countries and experiencing local life. Every person is different, every city has a different way of life and different ways to feel welcome, and I want to make sure that you enjoy your stay here. When you arrive, take some time to relax, drink some Seattle coffee, and we can chat about what you value in travel and life- I'll make sure to cater your stay to you!",5,5,5,5,5,5,5,5
4,No,2,it was helpful to know what to describe.,"I work in graphic design, I am 35 years old single.I like to travel, photography and the art, I often enjoy a good movie.I enjoy Si-Fi movies like Gattacca, Bladerunner, and most recently Passangers. I like to keep up with the latest news and world events, and I also like Cultural activies around the city. I enjoy exploring all the new restaurants venues that might have new tasty eats. I would be willing to share my knowledge with you so that you can have a fascinating time and experience in this wonderful city. there is so much to see and explore. why not start now? ","I work in graphic design, I am 35 years old single.I like to travel, photography and the arts, I often enjoy a good movie,and the novie houses offer every movie genre you can imagine.the restuarnats near my residenced and from traditional to eclectic with every price range available.Me and my friends enoy the nightlife and would just be thrilled to share our night experiences. the outdoors are only a train ride away. where camping and fishing are a couple of hours away.inicidently, I enjoy Si-Fi movies like Gattacca, Bladerunner, and most recently Passangers. I like to keep up with the latest news and world events, and I also like Cultural activies around the city. I enjoy exploring all the new restaurants venues that might have new tasty eats. I would be willing to share my knowledge with you so that you can have a fascinating time and experience in this wonderful city. there is so much to see and explore. why not start now?",4.5,5.5,5.5,5.5,5.5,6.5,6,6.5
