Condition,"Before today, have you ever written an online product review?",What laptop model/type did you write your review about? (Please be as specific as possible),How often do you read user reviews when shopping online?,Qualitative,Pre-Feedback,Post-Feedback,Pre-Feedback Review Informativeness,Pre-Feedback Review Subjectivity,Pre-Feedback Review Writing Clarity,Pre-Feedback Overall Quality (Holistic),Post-Feedback Review Informativeness,Post-Feedback Review Subjectivity,Post-Feedback Review Writing Clarity,Post-Feedback Review Overall Quality (Holistic)
2,No,Toshiba Chromebook 2,3,"The feedback I received was that I should include more personal opinions, which was a clear and helpful response about what you were looking for","I've used my Toshiba Chromebook daily for five months.  I bought it refurbished to replace a previous Chromebook that I had been using for a couple years.  I play a lot of games that are moderately processor intensive and my last Chromebook tended to overheat and eventually failed and could not be restored.  I was very pleased that all of my preferences, bookmarks, applications and documents were easily automatically loaded onto my new Chromebook once I logged into my Google account.  However, it seems to have the same problem that my last one had.  It gets hot and within a couple days had started freezing up and sometimes rebooting itself. So, if you play a lot of games or do other processor-intensive activities, this might not be the greatest laptop for you.  But other than that, I love my Chromebook.","I've used my Toshiba Chromebook daily for five months.  I bought it refurbished to replace a previous Chromebook that I had been using for a couple years.  I play a lot of games that are moderately processor intensive and my last Chromebook tended to overheat and eventually failed and could not be restored.  I was very pleased that all of my preferences, bookmarks, applications and documents were easily automatically loaded onto my new Chromebook once I logged into my Google account.  However, it seems to have the same problem that my last one had.  It gets hot and within a couple days had started freezing up and sometimes rebooting itself. So, if you play a lot of games or do other processor-intensive activities, this might not be the greatest laptop for you.  But other than that, I love my Chromebook.  The set-up was super easy, I don't have to worry about viruses and  if something does happen, I know all of my stuff is backed-up in the cloud. That's so much better than having to make a cd backup and reload everything!",3,4,5,3.5,3.5,4,5,4
1,Yes,Dell Inspiron 1521 i3,6,"I didn't get any feedback (other than ""great job!"")","I'm reviewing the Dell Inspiron 1521 15"" i3 from 2013. I bought this on Cyber Monday after missing out on a slightly better version w/ touch screen, and despite this unit's lack of fancy screen, I've been super happy with it. It's got an i3, 250GB HD, started w/ 4GB RAM to which I immediately added another 4GB, and all of the things you expect on a machine built by a large computer corporation in 2013. It started out as my new main machine, replacing a six (!) year-old MacBook. I did not want to use Windows but could not afford another Mac. The chiclet keyboard is passable, if not great. The screen is usable, if not great. The speed is okay, not great. But it was a big step up from an ancient MacBook at the time and has aged very well.  Three years on it shows its age from time to time but *knock on wood* keeps chugging along. I now have it on 24/7 as a Internet utility machine running Ubuntu and web/chat apps. Ubuntu is fantastic and I highly recommend anyone using an older Windows laptop to just wipe and start over with Ubuntu/Linux for a nice performance boost. I've been very happy with it over the years and would buy another Dell laptop because of it.","I'm reviewing the Dell Inspiron 1521 15"" i3 from 2013. I bought this on Cyber Monday after missing out on a slightly better version w/ touch screen, and despite this unit's lack of fancy screen, I've been super happy with it. It's got an i3, 250GB HD, started w/ 4GB RAM to which I immediately added another 4GB, and all of the things you expect on a machine built by a large computer corporation in 2013. It started out as my new main machine, replacing a six (!) year-old MacBook. I did not want to use Windows but could not afford another Mac. The chiclet keyboard is passable, if not great. The screen is usable, if not great. The speed is okay, not great. But it was a big step up from an ancient MacBook at the time and has aged very well.  Three years on it shows its age from time to time but *knock on wood* keeps chugging along. I now have it on 24/7 as a Internet utility machine running Ubuntu and web/chat apps. Ubuntu is fantastic and I highly recommend anyone using an older Windows laptop to just wipe and start over with Ubuntu/Linux for a nice performance boost. I've been very happy with it over the years and would buy another Dell laptop because of it.",5,5,4.5,5,5,5,4.5,5
1,Yes,Acer Chromebook C720,6,the said my review was helpful and didnt give me any other feedback as to fixing it,"I love my Acer Chromebook C720. It is lightweight and you can easily carry it around with you everywhere you go. The screen size is 11 inches and is perfect for me since i wasn't looking for a big bulkly laptop. It turns on extremely fast as well, i believe it's about 7 seconds in total. The only negative thing i have to say about the Acer C720 Chromebook is that you are not able to download itunes on it. Basically you are only able to download stuff from the chrome store which makes sense since it is a chromebook. In doing so though it keeps your chromebook safe from any viruses you may have downloaded otherwise. For the price you can not go wrong.","I love my Acer Chromebook C720. It is lightweight and you can easily carry it around with you everywhere you go. The screen size is 11 inches and is perfect for me since i wasn't looking for a big bulkly laptop. It turns on extremely fast as well, i believe it's about 7 seconds in total. The only negative thing i have to say about the Acer C720 Chromebook is that you are not able to download itunes on it. Basically you are only able to download stuff from the chrome store which makes sense since it is a chromebook. In doing so though it keeps your chromebook safe from any viruses you may have downloaded otherwise. For the price you can not go wrong.",2.5,4.5,5,3,2.5,4.5,5,3
2,Yes,Aspire e15 572G,7,The use less technical knowledge made sense but other than that it seemed generic,"I bought the Aspire E15 572G with the hopes of running certain low demanding games such as CSGO and Age of Empires. The laptop came with an i7 processor and 8 gb of DDR3 RAM. Decent enough for a laptop and more than enough for your average processing needs, whether for web browsing or office work. THe main draw was the NVidia 940M dedicated graphics card. The 940 did exactly what I needed and ran CSGO at above 100fps with minimal stuttering and fast loading times. In fact, I'd load maps faster than friends with better pcs. The laptop has many pros but the biggest issue with it is its build quality. From the onset, I had issues with sudden restarts, touchpad not working and various small parts of the laptop start coming apart. The keyboard has lost functionality in many keys. The battery life even without demanding processes running is atrocious at about 3 hours with light activity. But somehow, I'm still making it work and its still serving me. I half expect it to randomly die on me in the next few months the way its going but until then at a price of $450 when I bought it, its served me well enough.","I bought the Aspire E15 572G with the hopes of running certain low demanding games such as CSGO and Age of Empires. The laptop came with an i7 processor and 8 gb of DDR3 RAM. Decent enough for a laptop and more than enough for your average processing needs, whether for web browsing or office work. THe main draw was the NVidia 940M dedicated graphics card. The 940 did exactly what I needed and ran CSGO at above 100fps with minimal stuttering and fast loading times. In fact, I'd load maps faster than friends with better pcs. The laptop has many pros but the biggest issue with it is its build quality. From the onset, I had issues with sudden restarts, touchpad not working and various small parts of the laptop start coming apart. The keyboard has lost functionality in many keys. The battery life even without demanding processes running is atrocious at about 3 hours with light activity. But somehow, I'm still making it work and its still serving me. I half expect it to randomly die on me in the next few months the way its going but until then at a price of $450 when I bought it, its served me well enough.",4,5,5,5,4,5,5,5
4,No,HP Pavilion DV6,6,"it kept telling me my review was unbalanced, when I simply described positives and negatives","I bought this laptop because I wanted a good mix of price and performance. I do a lot of work and studying-related tasks on it, but I also game from time to time. So I wanted a blend good business performance and good game performance. I also wanted a laptop that wouldn't break the bank. That led me to buy the DV6 laptop from HP.  The DV6 is a 15-inch laptop that is on the larger side. It has a 1366x768 display with good contrast, and a full-size keyboard with a numpad on the right. It comes stock with 4GB of memory and a 640GB hard drive. The laptop has the AMD A6-3400m APU, which is a quad core with decent business performance and integrated video. There is also a built-in fingerprint reader that you can use with Windows Hello. The latter is a bit finicky and doesn't always work.  The laptop loads up into Windows fairly quickly and has good office performance. Office, Chrome, Firefox, and other mainstream apps run at normal speed with no problems. The APU is slightly underpowered for the latest video games, but can handle most games at a modest to low resolution. It has no problem with older games from 2010 or earlier.  As far as portability, the laptop is large and somewhat heavy. It is durable, but the durability comes at some cost to weight. Battery life also could be better. It always seems like I need a charger when using it. Two hours is a good estimate of how much battery life it has with normal use - gaming use is probably even less.  The laptop runs hot when gaming. I'd recommend buying a cooler for it.  Overall a good laptop for the price, with weight and battery life being the major drawbacks. Performance in modern games is the only other drawback","The DV6 is a 15-inch laptop that is on the larger side. It has a 1366x768 display with good contrast, and a full-size keyboard with a numpad on the right. It comes stock with 4GB of memory (upgradable) and a 640GB hard drive. The laptop has the AMD A6-3400m APU, which is a quad core with decent business performance and integrated video. There is also a built-in fingerprint reader that you can use with Windows Hello. The latter is a bit finicky and doesn't always work.  The laptop loads up into Windows fairly quickly and has good office performance. Office, Chrome, Firefox, and other mainstream apps run at normal speed with no problems. The APU is slightly underpowered for the latest video games, but can handle most games at a modest to low resolution. It has no problem with older games from 2010 or earlier.  As far as portability, the laptop is large and somewhat heavy. It is durable, but the durability comes at some cost to weight. Battery life also could be better. It always seems like I need a charger when using it. Two hours is a good estimate of how much battery life it has with normal use - gaming use is probably even less.  The laptop runs hot when gaming. I'd recommend buying a cooler for it.  Overall a good laptop for the price, with weight and battery life being the major drawbacks. Performance in modern games is the only other drawback.",5.5,5,5,5,5.5,5,5.5,5
1,No,MacBook Air,5,"I waited for a really long time and never received any feedback, so I went through and revised my writing without it. Bummer because I was interested in what it would say! (unclear what they mean here, because logs show that the feedback was ""Helpful review""","The Apple MacBook Air is so light and thin, I often forget I even have it with me in my backpack. This can be (and has been) a good and a bad thing. It's easy to transport to work and the coffee shop and around my home, but often I find myself getting into my car, wondering if I remembered to bring it! But seriously, it's easy to use, it's fast and powerful, and I have never had a serious problem with it. I was a little apprehensive of buying another apple computer after my previous one had a complete hard drive failure after only two years (for the price I expect to get at least 6 years out of the machine), but my instinct that  that was an isolated incident seems to be proving true. I've had this new MacBook Air now for three years and it still performs like new. When I remember to clean it, it also looks like new still, too. I use it almost all day long to conduct archival research collecting images, as well as to run multiple word processing programs for my work. I do all of this while also running spotify, evernote, and multiple internet windows.  So far the only downside is that it's an older model. Every new generation of laptop that Apple comes out with makes me slightly less satisfied with my current model, but that's not the laptop's fault!","The Apple MacBook Air is so light and thin, I often forget I even have it with me in my backpack. This can be (and has been) both a good and a bad thing. It's easy to transport to work and the coffee shop and around my home, but often I find myself getting into my car, wondering if I remembered to bring it! But seriously, it's easy to use, it's fast and powerful, and I have never had a serious problem with it. I was a little apprehensive of buying another Apple computer after my previous one had a complete hard drive failure after only two years (for the price I expect to get at least 6 years out of the machine), but my instinct that that was an isolated incident seems to be proving true. I've had this new MacBook Air now for three years and it still performs like new. When I remember to clean it, it looks like new still, too. I use it almost all day long to conduct archival research collecting images, as well as to run multiple word processing programs for my work. I do all of this while also running Spotify and Evernote, with multiple internet windows open. So far the only downside is that it's an older model. Every new generation of laptop that Apple comes out with makes me slightly less satisfied with my current model, but that's not the laptop's fault!",3,4.5,5,3.5,3,4.5,5,3.5
3,Yes,"HP - OMEN 15.6"" Laptop 15-AX033DX",7,I didn't have any areas of my review that needed improvement so I couldn't gauge the segment level feedback. ,"This review is for the Hewlett-Packard Omen Gaming Laptop. This purchase was mainly for entertainment purposes but has also become a work computer as well.  While I honestly prefer the power of a desktop the Omen has a moderate amount of power under the hood while having the convenience of portability. One of the biggst problems I've seen with people and laptops are that the machine don't have the processing power to meet their basic needs.  The Omen has a Intel Core i7 clocked at 2.5ghz which is only decent in my opinion. However it has the ability to boost it's speed to 3.4ghz which is desktop standard. These speeds guarantee that you can handle modern programs of any kind. Getting anything less than these speeds are a waste of time and money.  The Omen is a bit hefty (roughly 5 pounds), but it's to be expected considering the power it boasts. It's got a nice 15.6 inch screen with a back lit led keyboard for night time usage which is a big plus for me and my sensitive eyes.  The system can easily handle multi tasking. I can game, skype, and browse with no stutters of any kind and the battery life is fairly decent at just under 4 hours of continuous use. Even less if the processor is being boosted.  That being said the laptop does have one flaw which is it getting hot on the underbelly. However this is a universal problem with laptops in general. Adding a fan attachemnt with remedy this issue. Overall there is no reason not to pick up this laptop if you are in the market ($800 to $1000) as it will be a satisfying purchase.","This review is for the Hewlett-Packard Omen Gaming Laptop. This purchase was mainly for entertainment purposes but has also become a work computer as well.  While I honestly prefer the power of a desktop the Omen has a moderate amount of power under the hood while having the convenience of portability. One of the biggst problems I've seen with people and laptops are that the machine don't have the processing power to meet their basic needs.  The Omen has a Intel Core i7 clocked at 2.5ghz which is only decent in my opinion. However it has the ability to boost it's speed to 3.4ghz which is desktop standard. These speeds guarantee that you can handle modern programs of any kind. Getting anything less than these speeds are a waste of time and money.  The Omen is a bit hefty (roughly 5 pounds), but it's to be expected considering the power it boasts. It's got a nice 15.6 inch screen with a back lit led keyboard for night time usage which is a big plus for me and my sensitive eyes.  The system can easily handle multi tasking. I can game, skype, and browse with no stutters of any kind and the battery life is fairly decent at just under 4 hours of continuous use. Even less if the processor is being boosted.  That being said the laptop does have one flaw which is it getting hot on the underbelly. However this is a universal problem with laptops in general. Adding a fan attachemnt with remedy this issue. Overall there is no reason not to pick up this laptop if you are in the market ($800 to $1000) as it will be a satisfying purchase.",4.5,5.5,5,5.5,4.5,5.5,5,5.5
2,Yes,"MacBook Pro (13-inch, Late 2016, Four Thunderbolt 3 Ports)",7,The feedback was good but generic,"I recently purchased the new MacBook Pro 13 inch laptop with touch bar. It took almost a month before Apple delivered this; but I love it! The thing that I love best about the touch bar is that it has a finger print sensor and I can use that to login. It's a huge time saver. Siri is also built into the touchbar so it's easy to access. The touchbar also has touch to volume control, monitor brightness and favorites. It makes the laptop more efficient. I have always used Apple products and love the functionality of using the icloud to connect my macbook, iphone & ipad. I am amazed at how fast this laptop is and am still exploring all the new functionality, as I've only had it a few weeks.","I recently purchased the new MacBook Pro 13 inch laptop with touch bar. It took almost a month before Apple delivered this; but I love it! The thing that I love best about the touch bar is that it has a finger print sensor and I can use that to login. It's a huge time saver. Siri is also built into the touchbar so it's easy to access. The touchbar also has touch to volume control, monitor brightness and favorites. It makes the laptop more efficient. I have always used Apple products and love the functionality of using the icloud to connect my macbook, iphone & ipad. I am amazed at how fast this laptop is and am still exploring all the new functionality, as I've only had it a few weeks.",2.5,3,5.5,3.5,2.5,3,5.5,3.5
1,Yes,"Dell Inspiron 15"" 3531",7,I received a good review.,"My most recent laptop purchase was a Dell 3531 15"" Inspiron. This is my 2nd purchase of the same item. I use both of them regularly. I like the 15"" screen which enables me to watch movies easily. I can also split the screen to work on different items and have enough space to see my work. Neither of the laptops are touch screen. There is plenty of storage and all of my programs run smoothly. The last purchased laptop is without CD/DVD bay and only has 2 USB ports - it was on sale at a great price! But the other features such as great sound and thin edge make it easy to travel with plus I have an adapter for the USB ports and I use thumb drives for music etc. Great budget friendly product.","My most recent laptop purchase was a Dell 3531 15"" Inspiron. This is my 2nd purchase of the same item. I use both of them regularly. I like the 15"" screen which enables me to watch movies easily. I can also split the screen to work on different items and have enough space to see my work. Neither of the laptops are touch screen. There is plenty of storage and all of my programs run smoothly. The last purchased laptop is without CD/DVD bay and only has 2 USB ports - it was on sale at a great price! But the other features such as great sound and thin edge make it easy to travel with plus I have an adapter for the USB ports and I use thumb drives for music etc. Great budget friendly product.",3.5,4.5,5,4,3.5,4.5,5,4
4,Yes,Acer EEEPC,4,It had a problem with balance where I only had bad things to say about that aspect of the computer.,"The Acer EEEPC is a compact laptop with a surprisingly large keyboard for it's size. A bit underpowered and only sporting 1 GB of RAM (which can easily be replaced with 2 GB chip) the laptop is relatively quick and primarly useful as a word processor. It comes with a stripped down version of windows 7, which is known as Windows 7 Starter. This is a very poor operating system that removes common windows features, despite not saving on additional performance. Windows 7 starter wholly ruins almost any benefits this laptop has. The internet performance is adequate but will not age well as websites continue to transmit more data","The Acer EEEPC is a compact laptop with a surprisingly large keyboard for it's size. A bit underpowered and only sporting 1 GB of RAM (which can easily be replaced with 2 GB chip) the laptop is relatively quick and primarly useful as a word processor. It comes with a stripped down version of windows 7, which is known as Windows 7 Starter. This is a very underwhelming operating system that removes common windows features, despite not saving on additional performance. Windows 7 starter wholly ruins almost any benefits this laptop has. The internet performance is adequate but will not age well as websites continue to transmit more data. The laptop has a shiney surface and tracks every fingerprint, unfortunately. This laptop cannot be used for gaming. It's small size provides amazing portabilty and a hearty battery that lasts a projected 10 hours. The screen is unbelievably small.",3,3.5,5,3.5,3.5,5,4,4.5
4,Yes,Dell Inspiron,5,"I appreciated the feedback letting me know that my review was well-written and helpful, but I didn't really think that the specific portions that it targeted for editting were all that insightful. I was giving some general and background knowledge in certain spots of my review in between other more descriptive areas, and the feedback system didn't seem to appreciate that mix of variety.","I bought my Dell Inspiron on eBay for 700 dollars. It was one of those eBay Daily Deals with free shipping, and it was discounted down from 850 dollars. So I felt pretty good about this laptop purchase before I even received it, having felt that I scored a bargain for a moderately-priced laptop. When the box was delivered and I took the laptop out of the bag, I was impressed with the chic metal casing. My last laptop had been of the cheap plastic variety, so I was probably easily impressed by the build quality of my new Dell. The screen is touch-enabled, and while that wasn't a major selling point for me, I still have fun once in a while with it for paint applications or app games. In addition, the widescreen display and resolution details are all satisfactory to me. The keyboard was a little bit of a disappointment however. It is a cheaper quality than the rest of the laptop build, and some of the keys snap out of alignment at times. I still have to snap a few of them back into place after a rigorous writing session. The other big thing for me was the graphics performance for PC gaming. I could never get higher performance games to play on my old laptop, and I really didn't expect my new Dell to be much different, considering that it wasn't a true gaming laptop. To my surprise, it performs admirably, and I can play many new games on this laptop. I can't play them at their highest settings, but I am still pleased by this performance from a moderately-priced computer. All in all, I have owned my Dell Inspiron for two solid years, and I have no complaints for what I paid. The speed and processing are enough for my daily demands in both work and entertainment. I also have a built-in webcam and microphone, which I didn't even realize when I bought it. These bonus features are great for recording a short video for friends, and I have even used it for Skype interviews and work. I wholeheartedly recommend this laptop.","I bought my Dell Inspiron on eBay for 700 dollars, discounted down from 850 dollars. So I felt pretty good about this laptop purchase before I even received it, having felt that I scored a bargain for a moderately-priced laptop. I would have liked a Blu-ray player drive, but after shopping around, I settled for the DVD drive to keep costs down. When the box was delivered and I took the laptop out of the bag, I was impressed with the chic metal casing. My last laptop had been of the cheap plastic variety, so I was probably easily impressed by the build quality of my new Dell. The screen is touch-enabled, and while that wasn't a major selling point for me, I still have fun once in a while with it for paint applications or app games. In addition, the widescreen display and resolution details are all satisfactory to me. The keyboard was a little bit of a disappointment however. It is a cheaper quality than the rest of the laptop build, and some of the keys snap out of alignment at times, forcing me to pop them back into place on occasion. The other big thing for me was the graphics performance for PC gaming. I could never get higher performance games to play on my old laptop, and I really didn't expect my new Dell to be much different, considering that it wasn't a true gaming laptop. To my surprise, it performs admirably, and I can play many new games on this laptop. I can't play them at their highest settings, but I am still pleased by this performance from a moderately-priced computer. The portability of this laptop might be an area of concern for some folks, since it is quite big and heavy. However it's not a problem for me, and I carry it basically everywhere I go. The speed and processing are enough for my daily demands in both work and entertainment. I also have a built-in webcam and microphone, which I didn't even realize when I bought it. These bonus features are great for recording a short video for friends, and I have even used it for Skype interviews and work. I wholeheartedly recommend this laptop.",3.5,4.5,5,4.5,4.5,5,6,5.5
3,Yes,acer chromebook,7,The feedback seemed generic and didn't correspond to my review. It was pretty much all encompassing even though I had commented on some of the aspects it was asking me to include.,"I recently purchased an Acer Chromebook. After researching several models of laptops, I wanted to get something lightweight, portable, long battery life, and under $400. The chromebook checked off all these boxes, so I went ahead and purchased one. Out of the box, I was really happy with how well it performed. As an web browsing and video streaming device, it's absolutely everything you coul ask for and more. The resolution is sharp, and the chrome os syncs with all of google's products seamlessly. I, however, underestimated how much I like to work offline. The apps and programs on the chromebook don't function very well when the device is offline. There was a reason I chose to use LibreOffice over the Google docs and sheets. The offline compatibility is just clunky. I don't like having all of my photos and media stored in the cloud. Some websites don't function properly in chrome os. There's also some problems with the actual laptop itself. In order to fit full size keys, acer eliminated several keys that I've grown accustomed to using. I never realized how often I used the delete, home, and end keys until I was using a laptop that didn't have them. The display is sharp and bright, but it turns itself off sometimes. Would I buy another chromebook? No, I'm too accustomed to using a fully featured laptop and prefer to have all my files, programs, and media stored locally. It's a great value device for web browsing and streaming media, but I just need a little more from my laptop.","I recently purchased an Acer Chromebook. After researching several models of laptops, I wanted to get something lightweight, portable, long battery life, and under $400. The chromebook checked off all these boxes, so I went ahead and purchased one. Out of the box, I was really happy with how well it performed. As an web browsing and video streaming device, it's absolutely everything you could ask for and more. The sound is good, but the speaker placement is pretty annoying -- they're under the laptop so your sound is muffled if it's sitting flat on a table or your lap. The resolution is sharp, and the chrome os syncs with all of google's products seamlessly. I'm not very interested in gaming, but this computer is only capable of playing browser based games. I, however, underestimated how much I like to work offline. The apps and programs on the chromebook don't function very well when the device is offline. There was a reason I chose to use LibreOffice over the Google docs and sheets. The offline compatibility is just clunky. I don't like having all of my photos and media stored in the cloud. Some websites don't function properly in chrome os. There's also some problems with the actual laptop itself. In order to fit full size keys, acer eliminated several keys that I've grown accustomed to using. I never realized how often I used the delete, home, and end keys until I was using a laptop that didn't have them. The display is sharp and bright, but it turns itself off sometimes. Would I buy another chromebook? No, I'm too accustomed to using a fully featured laptop and prefer to have all my files, programs, and media stored locally. It's a great value device for web browsing and streaming media, but I just need a little more from my laptop.",2,5,5,3.5,3,5,5,4.5
4,Yes,Macbook Pro 13-inch Retina,4,There was not a any feedback offered for what I wrote - so it is hard to say if it was useful or not.,"I currently own a MacBook Pro - it is the 13"" Retina model, from early 2015. I opted to get the 3.1 GHz processor, and had it outfitted with 16 GB of RAM. It has a 500 GB flash storage drive, and not a traditional hard disk drive. Overall, I would say I am generally pleased with the performance of my laptop. I purchased it for graphics and design intensive work - so Photoshop, InDesign, LightRoom, etc., - the typical Adobe apps. Because of this, I went for a fast processor and extra memory. I believe that those are two crucial items to why the laptop works so well for me. If I did not opt for these add-ons, then I don't think I would have had such a good experience so far. The laptop has proven to be very resilient, surviving a couple of falls off of a coffee table, and shows no ill effects.  Although it was pricey, I would certainly purchase this same configuration again without hesitation.","I currently own a MacBook Pro - it is the 13"" Retina model, from early 2015. I opted to get the 3.1 GHz processor, and had it outfitted with 16 GB of RAM. It has a 500 GB flash storage drive, and not a traditional hard disk drive. Overall, I would say I am generally pleased with the performance of my laptop. I purchased it for graphics and design intensive work - so Photoshop, InDesign, LightRoom, etc., - the typical Adobe apps. Because of this, I went for a fast processor and extra memory. I believe that those are two crucial items to why the laptop works so well for me. If I did not opt for these add-ons, then I don't think I would have had such a good experience so far. The laptop has proven to be very resilient, surviving a couple of falls off of a coffee table, and shows no ill effects.  Although it was pricey, I would certainly purchase this same configuration again without hesitation.",4,5,5,4.5,4,5,5,4.5
4,Yes,Lenovo Ideapad z585,7,"The interface was useful in constucting a sound, helpful and informative review. ","I purchased a Lenovo Ideapad z585, I felt that the price point was fair for this laptop ($550) considering the specifications and performance this laptop delivers. I was impressed that I was able to find a laptop with medium to high specs for the price point. This laptop has a 8gb DDR3 RAM, 1 TB (terabyte) Hard Drive, AMD A-10 processor, 15.6"" display, VGA, HDMI and several USB ports. This laptop has performed to my expectation, I can run video games in good quality, do video editing and music production with great performance. Another feature than I like about this laptop is that the case material is made out of Aluminum and polycarbonate ABS, making it hefty if it is dropped or something falls on it. Overall I am impressed by the build quality and peformance of this laptop for the price point given, there are few choices that are able to compete with the quality, peroformance and price of this laptop.","I purchased a Lenovo Ideapad z585, I felt that the price point was fair for this laptop ($550) considering the specifications and performance this laptop delivers. I was impressed that I was able to find a laptop with medium to high specs for the price point. This laptop has a 8gb DDR3 RAM, 1 TB (terabyte) Hard Drive, AMD A-10 processor, 15.6"" display, VGA, HDMI and several USB ports. This laptop has performed to my expectation, I can run video games in good quality, do video editing and music production with great performance. Another feature than I like about this laptop is that the case material is made out of Aluminum and polycarbonate ABS, making it hefty if it is dropped or something falls on it. Overall I am impressed by the build quality and peformance of this laptop for the price point given, there are few choices that are able to compete with the quality, peroformance and price of this laptop.",5,3.5,5,4.5,5,3.5,5,4.5
4,No,HP 15f-233,6,This feedback allowed me to write my review in a clear and useful manner,"The laptop I recently purchased is an HP 15-f233 15.6 inch laptop in black. This laptop has a 4GB memory with a 500 GB hard drive which allows for plenty of storage space. It includes the latest technology, with Windows 10 being the operating system on the laptop. This laptop is used mainly for work and I am pleased with its fast response time and large screen. It has the ten-key on the side which allows for quick data entry. It very easy to set up icons/shortcuts and has a clear picture with great sound when playing a DVD or listening to music. A great laptop at a great price!","The laptop I recently purchased is an HP 15-f233 15.6 inch laptop in black. This laptop has a 4GB memory with a 500 GB hard drive which allows for plenty of storage space. It includes the latest technology, with Windows 10 being the operating system on the laptop. This laptop is used mainly for work and I am pleased with its fast response time and large screen. It has the ten-key on the side which allows for quick data entry. It very easy to set up icons/shortcuts and has a clear picture with great sound when playing a DVD or listening to music. A great laptop at a great price!",3.5,4,4.5,3.5,3.5,4,4.5,3.5
4,No,Sony VAIO Pro 13,5,"It seemed like the feedback was just an automated response designed to just tell me to be more specific. It didn't seem like the feedback actually applied to my review, or in other words it did not seem like someone had read my review and then decided that these were some things i should change about it. Instead it seemed like no matter what i wrote i would probably get the same generic response which basically told me to be more specific about the product attributes. So i think most of it was annoying and useless. I did however notice that the feedback i got was over parts where i wrote alot about my specific opinion, and it seemed like unnecessary fluff after giving it a second read when it was highlighted in the feedback, and I ended up taking some parts of it out.","The Sony VAIO Pro 13 is reasonably priced and is a good choice for students, like myself. There are quite a few pros to this laptop to consider. It is extremely light and therefor is easy to take with you to every class if you're a student, or to comfortably just sit it in your lap without squashing your thighs if you are just using it at home. I think it is extremely fast as well. My husband has a Mac that he loves, and that I hate, and my Sony Vaio easily doubles it in speed. This means while he is still booting up his computer I am already on the internet, signed in, reading emails while I wait for him to catch up. Along with good speed it also has a decent amount of storage space, especially for a laptop. Speaking of my husband's horrible Mac that I loathe, I know I am not the only person in the world that gets confused trying to use one. I was relieved to find out that the Sony VAIO was so simple to use and nothing like a complicated Mac. Easy help buttons can guide you along as you are learning it and it is honestly one of the easiest to use laptops I have ever worked with. Don't even get me started on the battery life! After forgetting to turn my laptop off and then not touching it for 4 days i was surprised to see it still had over half battery life left when I finally used it! When actively using it I could could about 10 hours without needing to plug it in, which is extremely helpful when using it in a classroom full of 200 other students that all have laptops and are all trying to share the 6 outlets in the classroom. I could go on all day singing this laptops praises however I would be lying if I did not admit that there are a few negatives. Luckily, with a few relatively cheap add-ons, these negatives will go away. For example it does not have a disk drive, this is part of the reason it is so light, which can get annoying sometimes, however you can buy an external disk drive to add to the laptop and then only use it when you need it. Also, after owning this laptop for over 4 years, the battery only holds a charge for about an hour or so. But that has more to do with old age than an actual negative aspect of the laptop itself. Either replacing the battery or just keeping it plugged in and then not using it unplugged for more than an hour and a half is an easy fix for this. My final comlpaint about my Sony VAIO Pro 13 is about the keyboard. Yes, unfortunately the keys stick and it can really make typing difficult. I ended up buying an inexpensive solar powered wireless keyboard because of this problem, and it was an extremely cheap and effective fix! All in all I like this laptop and it has been with me for several years without dying or crashing on me, and with all the garbage products out there that are faulty and break as soon as you get them home, that is realy all I could ask for.","My Sony VAIO Pro 13 is a reasonably priced and laptop that is easy to use and has quite a few positive attributes. It is extremely light and therefore is easy to take with you to every class if you're a student, or to comfortably just sit it in your lap without squashing your thighs if you are just using it at home. I think it is extremely fast as well. My husband has a Mac that he loves, and that I hate, and my Sony Vaio easily doubles it in speed. This means while he is still booting up his computer I am already on the internet, signed in, reading emails while I wait for him to catch up. Along with good speed it also has a decent amount of storage space, especially for a laptop. Speaking of my husband's horrible Mac that I loathe, I know I am not the only person in the world that gets confused trying to use one. I was relieved to find out that the Sony VAIO was so simple to use and nothing like a complicated Mac. Easy help keys can guide you along as you are learning it and it is honestly one of the easiest to use laptops I have ever worked with. Don't even get me started on the battery life! After forgetting to turn my laptop off and then not touching it for 4 days i was surprised to see it still had over half battery life left when I finally used it! When actively using it I could could about 10 hours without needing to plug it in, which is extremely helpful when using it in a classroom full of 200 other students that all have laptops and are all trying to share the 6 outlets in the classroom. There are a few negatives to deal with. With a few relatively cheap add-ons, these negatives will become obsolete. For example while it does have multiple hdmi and usb ports, it does not have a disk drive. This is one of the reasons it is so light. However you can buy an external disk drive to add to the laptop and then only use it when you need it. Also, after owning this laptop for over 4 years, the battery only holds a charge for about an hour or so. But that has more to do with old age than an actual negative aspect of the laptop itself. Either replacing the battery or just keeping it plugged in and then not using it unplugged for more than an hour and a half is an easy fix for this. My final comlpaint about my Sony VAIO Pro 13 is about the keyboard. Yes, unfortunately the keys stick and it can really make typing difficult. I ended up buying an inexpensive solar powered wireless keyboard because of this problem, and it was an extremely cheap and effective fix! All in all I like this laptop and it has been with me for several years without dying or crashing on me, and with all the garbage products out there that are faulty and break as soon as you get them home, that is realy all I could ask for.",4,6.5,4.5,5,4.5,7,5.5,6
